ASVid,Kingdom,Phylum,Class,Order,Family,Genus
13934,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Portibacter
13935,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Portibacter
13937,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Portibacter
13945,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
13946,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
13948,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
13951,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013
13952,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013
13953,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013
13957,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
13960,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
13961,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
13962,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
13969,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_ge
13971,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_ge
13973,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_ge
13974,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_ge
13975,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_ge
13976,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_ge
13977,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_ge
13979,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OCS116_clade,OCS116_clade_ge
13981,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OCS116_clade,OCS116_clade_ge
13982,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
